NAME;CODE;IP1;IP2;IP3
PIROVAC-TRŽNICA-SDT;926200;10.199.27.73;10.199.27.74;10.199.27.75
TISNO-OP?INA-SDT;926220;-;-;-
MURTER-TRŽNICA II-SDT;926240;10.191.59.241;10.191.59.242;10.191.59.243
MURTER-LUKE-PLAŽA-SDT;926250;10.199.30.121;10.199.30.122;10.199.30.123
KNIN-ŽELJ. KOLODVOR-SDT;926270;10.199.27.177;10.199.27.178;10.199.27.179
DRNIŠ-FINA-SDT;926290;10.199.27.17;10.199.27.18;10.199.27.19
VODICE-PLAŽA-SDT;926310;10.191.60.81;10.191.60.82;10.191.60.83
ZADAR-ZEMUNIK-SDT;926330;10.191.48.209;10.191.48.210;10.191.48.211
ZADAR-AUTOB. KOLODVOR-SDT;926350;10.191.48.225;10.191.48.226;10.191.48.227
ZADAR-BENKOVA?KA-SDT;926380;10.199.26.105;10.199.26.106;10.199.26.107
ZADAR-MOST-SDT;926400;10.199.26.129;10.199.26.130;10.199.26.131
ZADAR-MALA POŠTA-LOKAL-SDT;926420;10.191.35.65;10.191.35.66;10.191.35.67
ZADAR-BORIK-SDT;926430;10.191.35.81;10.191.35.82;10.191.35.83
ZADAR-SUPERKONZUM-SDT;926470;10.191.51.177;10.191.51.178;10.191.51.179
NIN-CENTAR-SDT;926520;10.199.26.137;10.199.26.138;10.199.26.139
VIR-PLAŽA-SDT;926530;10.191.61.65;10.191.61.66;10.191.61.67
RAŽANAC-CENTAR-SDT;926540;10.199.26.145;10.199.26.146;10.199.26.147
POVLJANA-CENTAR-SDT;926550;10.199.26.193;10.199.26.194;10.199.26.195
NOVALJA-OBALA-SDT;926580;10.191.51.97;10.191.51.98;10.191.51.99
ZG-VUKOVARSKA-HRV.B. ZAJEDNICE;926590;10.191.104.81;10.191.104.82;10.191.104.83
OS-AUTOB. KOLODVOR-LOKAL;926610;10.199.35.161;10.199.35.164;10.199.35.165
TM ZRA?NA LUKA SPLIT;926640;10.99.19.138;10.99.19.139;10.99.19.140
TISAKMEDIA TRG-TELE 2;926680;10.100.122.14;10.100.122.15;10.100.122.16
RI-HL KORZO;926690;10.199.35.225;10.199.35.226;10.199.35.227
TISAKMEDIA POŽEGA;926710;10.100.70.20;10.100.70.21;10.100.70.22
TKON-TRAJEKTNA LUKA;926720;10.191.58.65;10.191.58.66;10.191.58.67
BENKOVAC-HOTEL;926740;10.199.36.1;10.199.36.2;10.199.36.3
KARLOVAC-SARAJEVSKA;926750;10.199.36.57;10.199.36.58;10.199.36.59
TISAKMEDIA ROVINJ;926770;10.99.20.74;10.99.20.75;10.99.20.76
ZG-KENNEDYEV TRG-EK. FAKULTET;926780;10.199.36.49;10.199.36.50;10.199.36.51
ZG-RADNI?KA;926790;10.191.105.97;10.191.105.98;10.191.105.99
TROGIR-KONZUM;926810;10.199.36.41;10.199.36.42;10.199.36.43
ŠIMUNI-AUTOKAMP;926850;10.191.56.177;10.191.56.178;10.191.56.179
V. GORICA-GALŽENICA;926870;10.199.39.41;10.199.39.43;10.199.39.44
V. GORICA-TRG K.P. KREŠIMIRA IV;926880;10.199.38.233;10.199.38.234;10.199.38.235
PULA-ZRA?NA LUKA;926890;10.191.57.161;10.191.57.162;10.191.57.163
BIOGRAD DRAŽICA;926920;10.191.60.209;10.191.60.210;10.191.60.211
LOŠINJ -PLAŽA VELI ŽAL;926940;10.191.60.129;10.191.60.130;10.191.60.131
ZG-KVATERNIKOV TRG-KONZUM;926950;10.199.38.225;10.199.38.226;10.199.38.227
ZG-KUSTOŠIJA-KONZUM;926960;10.199.38.249;10.199.38.250;10.199.38.251
BITART USLUGE;926970;-;-;-
VOJNOVI?EVA;927010;10.199.39.9;10.199.39.10;10.199.39.11
PULA-ŠIJANA;927040;10.199.39.49;10.199.39.50;10.199.39.51
LOPAR-SUPERKONZUM;927050;10.191.58.1;10.191.58.2;10.191.58.3
N. GRADIŠKA-GIMNAZIJA;927060;10.199.39.57;10.199.39.58;10.199.39.59
ZG-NDC TISAK;927070;10.199.39.65;10.199.39.66;10.199.39.67
SL. BROD-COLLOSEUM;927130;10.199.39.193;10.199.39.194;10.199.39.195
TISAKMEDIA DALMARE;927150;10.99.17.202;10.99.17.203;10.99.17.204
ZG-KUKULJEVI?EV TRG;927180;10.199.39.185;10.199.39.186;10.199.39.187
OPATIJA-SLATINA;927190;10.191.56.145;10.191.56.146;10.191.56.147
ZG-DINAMO;927210;10.199.39.201;10.199.39.202;10.199.39.203
ZG TRAKOŠ?ANSKA;927220;10.199.39.209;10.199.39.210;10.199.39.211
ZG-PITARELLO;927230;10.199.39.217;10.199.39.218;10.199.39.219
VALPOVO-RK ARKA;927420;10.199.39.241;10.199.39.242;10.199.39.243
CRIKVENICA-DUGA MALL;927440;10.199.39.225;10.199.39.226;10.199.39.227
DALMARE PARKING;927460;10.199.40.1;10.199.40.2;10.199.40.3
ZG-KAUFLAND JANKOMIR;927490;10.191.105.81;10.191.105.82;10.191.105.83
TISAKMEDIA POINT-VRBANI;927500;10.99.20.138;10.99.20.139;10.99.20.140
POŽEGA -LOKAL SUD;927570;10.199.40.209;10.199.40.210;10.199.40.211
ZG-SUPERKONZUM SESVETE;927740;10.199.40.217;10.199.40.218;10.199.40.219
